t,a,s,da,D,B,S,out,run_out,P_out,dA_plus,dA_relief,A,E_rev,dA,dE,Recovery_H,EdgeZero_H,r,IRR_ADM
16,+0.090000,3.000000,-0.030000,0.300000,0.090000,0.300000,0,0,0.000000,0.000000,0.111475,0.000000,0.923564,+0.000000,-0.000521,FALSE,FALSE,R0,CONTINUE
17,+0.060000,4.000000,-0.030000,0.300000,0.060000,0.400000,0,0,0.000000,0.000000,0.098700,0.000000,0.919673,+0.000000,-0.003891,FALSE,FALSE,R0,CONTINUE
18,+0.040000,5.000000,-0.020000,0.200000,0.040000,0.500000,0,0,0.000000,0.000000,0.096000,0.000000,0.912755,+0.000000,-0.006918,FALSE,FALSE,R0,CONTINUE
19,+0.070000,6.000000,+0.030000,0.300000,0.070000,0.600000,1,1,0.125000,0.082813,0.065100,0.017713,0.898409,+0.017713,-0.014346,FALSE,FALSE,R0,CONTINUE
20,+0.100000,6.000000,+0.030000,0.300000,0.100000,0.600000,1,2,0.250000,0.090625,0.063000,0.045338,0.882006,+0.027625,-0.016403,FALSE,FALSE,R0,CONTINUE
21,+0.120000,7.000000,+0.020000,0.200000,0.120000,0.700000,1,3,0.375000,0.092187,0.052800,0.084725,0.857796,+0.039387,-0.024210,FALSE,FALSE,R0,CONTINUE
22,+0.090000,8.000000,-0.030000,0.300000,0.090000,0.800000,0,0,0.000000,0.000000,0.031850,0.052875,0.840916,-0.031850,-0.016880,FALSE,FALSE,R0,CONTINUE
23,+0.070000,9.000000,-0.020000,0.200000,0.070000,0.900000,0,0,0.000000,0.000000,0.018600,0.034275,0.827046,-0.018600,-0.013870,FALSE,FALSE,R0,CONTINUE
24,+0.100000,10.000000,+0.030000,0.300000,0.100000,1.000000,1,1,0.125000,0.107813,0.000000,0.142088,0.793971,+0.107813,-0.033075,FALSE,FALSE,R0,CONTINUE
25,+0.130000,10.000000,+0.030000,0.300000,0.130000,1.000000,1,2,0.250000,0.115625,0.000000,0.257713,0.750321,+0.115625,-0.043650,FALSE,FALSE,R0,CONTINUE
26,+0.160000,10.000000,+0.030000,0.300000,0.160000,1.000000,1,3,0.375000,0.123438,0.000000,0.381150,0.697569,+0.123437,-0.052753,FALSE,FALSE,R0,CONTINUE
27,+0.190000,10.000000,+0.030000,0.300000,0.190000,1.000000,1,4,0.500000,0.125000,0.000000,0.506150,0.637754,+0.125000,-0.059815,FALSE,FALSE,R0,CONTINUE
28,+0.220000,10.000000,+0.030000,0.300000,0.220000,1.000000,1,5,0.625000,0.125000,0.000000,0.631150,0.572643,+0.125000,-0.065111,FALSE,FALSE,I1,ABSTAIN
29,+0.250000,10.000000,+0.030000,0.300000,0.250000,1.000000,1,6,0.750000,0.125000,0.000000,0.756150,0.503560,+0.125000,-0.069083,FALSE,FALSE,I2,ABSTAIN
30,+0.280000,10.000000,+0.030000,0.300000,0.280000,1.000000,1,7,0.875000,0.125000,0.000000,0.881150,0.431497,+0.125000,-0.072062,FALSE,FALSE,C,ABSTAIN
31,+0.310000,10.000000,+0.030000,0.300000,0.310000,1.000000,1,8,1.000000,0.125000,0.000000,1.000000,0.358123,+0.118850,-0.073374,FALSE,TRUE,C,ABSTAIN
32,+0.340000,10.000000,+0.030000,0.300000,0.340000,1.000000,1,9,1.000000,0.125000,0.000000,1.000000,0.301592,+0.000000,-0.056531,FALSE,TRUE,C,ABSTAIN
33,+0.370000,10.000000,+0.030000,0.300000,0.370000,1.000000,1,10,1.000000,0.125000,0.000000,1.000000,0.257694,+0.000000,-0.043898,FALSE,TRUE,C,ABSTAIN
34,+0.400000,10.000000,+0.030000,0.300000,0.400000,1.000000,1,11,1.000000,0.125000,0.000000,1.000000,0.223271,+0.000000,-0.034424,FALSE,TRUE,C,ABSTAIN
35,+0.430000,10.000000,+0.030000,0.300000,0.430000,1.000000,1,12,1.000000,0.125000,0.000000,1.000000,0.195953,+0.000000,-0.027318,FALSE,TRUE,C,ABSTAIN
36,+0.410000,10.000000,-0.020000,0.200000,0.410000,1.000000,0,0,0.000000,0.000000,0.000000,1.000000,0.176465,+0.000000,-0.019488,FALSE,TRUE,C,ABSTAIN
37,+0.390000,10.000000,-0.020000,0.200000,0.390000,1.000000,0,0,0.000000,0.000000,0.000000,1.000000,0.162849,+0.000000,-0.013616,FALSE,TRUE,C,ABSTAIN
38,+0.420000,10.000000,+0.030000,0.300000,0.420000,1.000000,1,1,0.125000,0.107812,0.000000,1.000000,0.151136,+0.000000,-0.011712,FALSE,TRUE,C,ABSTAIN
39,+0.450000,10.000000,+0.030000,0.300000,0.450000,1.000000,1,2,0.250000,0.115625,0.000000,1.000000,0.140852,+0.000000,-0.010284,FALSE,TRUE,C,ABSTAIN
40,+0.480000,10.000000,+0.030000,0.300000,0.480000,1.000000,1,3,0.375000,0.123437,0.000000,1.000000,0.131639,+0.000000,-0.009213,FALSE,TRUE,C,ABSTAIN
41,+0.500000,10.000000,+0.020000,0.200000,0.500000,1.000000,1,4,0.500000,0.118750,0.000000,1.000000,0.123729,+0.000000,-0.007910,FALSE,TRUE,C,ABSTAIN
42,+0.470000,10.000000,-0.030000,0.300000,0.470000,1.000000,0,0,0.000000,0.000000,0.000000,1.000000,0.119297,+0.000000,-0.004432,FALSE,TRUE,C,ABSTAIN
43,+0.440000,10.000000,-0.030000,0.300000,0.440000,1.000000,0,0,0.000000,0.000000,0.000000,1.000000,0.117473,+0.000000,-0.001824,FALSE,TRUE,C,ABSTAIN
44,+0.410000,10.000000,-0.030000,0.300000,0.410000,1.000000,0,0,0.000000,0.000000,0.000000,1.000000,0.117605,+0.000000,+0.000132,FALSE,FALSE,C,ABSTAIN
45,+0.380000,10.000000,-0.030000,0.300000,0.380000,1.000000,0,0,0.000000,0.000000,0.000000,1.000000,0.119203,+0.000000,+0.001599,FALSE,FALSE,C,ABSTAIN
46,+0.360000,10.000000,-0.020000,0.200000,0.360000,1.000000,0,0,0.000000,0.000000,0.000000,1.000000,0.121403,+0.000000,+0.002199,FALSE,FALSE,C,ABSTAIN
47,+0.390000,10.000000,+0.030000,0.300000,0.390000,1.000000,1,1,0.125000,0.107813,0.000000,1.000000,0.121552,+0.000000,+0.000149,FALSE,FALSE,C,ABSTAIN
48,+0.420000,10.000000,+0.030000,0.300000,0.420000,1.000000,1,2,0.250000,0.115625,0.000000,1.000000,0.120164,+0.000000,-0.001388,FALSE,FALSE,C,ABSTAIN
49,+0.420000,9.000000,+0.000000,0.000000,0.420000,0.900000,0,0,0.000000,0.000000,0.014500,0.985500,0.126298,-0.014500,+0.006134,TRUE,FALSE,C,ABSTAIN
50,+0.470000,10.000000,+0.050000,0.500000,0.470000,1.000000,1,1,0.125000,0.125000,0.000000,1.000000,0.121223,+0.014500,-0.005074,TRUE,FALSE,C,ABSTAIN
51,+0.520000,10.000000,+0.050000,0.500000,0.520000,1.000000,1,2,0.250000,0.125000,0.000000,1.000000,0.114918,+0.000000,-0.006306,FALSE,FALSE,C,ABSTAIN
52,+0.570000,10.000000,+0.050000,0.500000,0.570000,1.000000,1,3,0.375000,0.125000,0.000000,1.000000,0.107688,+0.000000,-0.007229,FALSE,FALSE,C,ABSTAIN
53,+0.540000,10.000000,-0.030000,0.300000,0.540000,1.000000,0,0,0.000000,0.000000,0.000000,1.000000,0.103766,+0.000000,-0.003922,FALSE,FALSE,C,ABSTAIN
54,+0.570000,8.000000,+0.030000,0.300000,0.570000,0.800000,1,1,0.125000,0.095312,0.015050,1.000000,0.109325,+0.000000,+0.005558,FALSE,FALSE,C,ABSTAIN
55,+0.550000,6.000000,-0.020000,0.200000,0.550000,0.600000,0,0,0.000000,0.000000,0.036000,0.964000,0.129893,-0.036000,+0.020569,TRUE,FALSE,C,ABSTAIN
56,+0.580000,6.000000,+0.030000,0.300000,0.580000,0.600000,1,1,0.125000,0.082812,0.029400,1.000000,0.138420,+0.036000,+0.008527,TRUE,FALSE,C,ABSTAIN
57,+0.600000,5.000000,+0.020000,0.200000,0.600000,0.500000,1,2,0.250000,0.071875,0.040000,1.000000,0.148815,+0.000000,+0.010395,TRUE,FALSE,C,ABSTAIN
58,+0.630000,6.000000,+0.030000,0.300000,0.630000,0.600000,1,3,0.375000,0.098438,0.025900,1.000000,0.150111,+0.000000,+0.001296,TRUE,FALSE,C,ABSTAIN
59,+0.610000,6.000000,-0.020000,0.200000,0.610000,0.600000,0,0,0.000000,0.000000,0.031200,0.968800,0.156763,-0.031200,+0.006652,TRUE,FALSE,C,ABSTAIN
60,+0.580000,8.000000,-0.030000,0.300000,0.580000,0.800000,0,0,0.000000,0.000000,0.014700,0.954100,0.155458,-0.014700,-0.001306,TRUE,FALSE,C,ABSTAIN
