t,a,s,da,D,B,S,out,run_out,P_out,dA_plus,dA_relief,A,E_rev,dA,dE,Recovery_H,EdgeZero_H,r,IRR_ADM
15,+0.120000,2.000000,+0.040000,0.200000,0.120000,0.200000,1,2,0.250000,0.053125,0.140800,0.000000,0.924086,+0.000000,+0.003971,FALSE,FALSE,R0,CONTINUE
16,+0.090000,3.000000,-0.030000,0.150000,0.090000,0.300000,0,0,0.000000,0.000000,0.135363,0.000000,0.923564,+0.000000,-0.000521,FALSE,FALSE,R0,CONTINUE
17,+0.060000,4.000000,-0.030000,0.150000,0.060000,0.400000,0,0,0.000000,0.000000,0.119850,0.000000,0.919673,+0.000000,-0.003891,FALSE,FALSE,R0,CONTINUE
18,+0.040000,5.000000,-0.020000,0.100000,0.040000,0.500000,0,0,0.000000,0.000000,0.108000,0.000000,0.912755,+0.000000,-0.006918,FALSE,FALSE,R0,CONTINUE
19,+0.070000,6.000000,+0.030000,0.150000,0.070000,0.600000,1,1,0.125000,0.064063,0.079050,0.000000,0.901066,+0.000000,-0.011689,FALSE,FALSE,R0,CONTINUE
20,+0.100000,6.000000,+0.030000,0.150000,0.100000,0.600000,1,2,0.250000,0.071875,0.076500,0.000000,0.890800,+0.000000,-0.010267,FALSE,FALSE,R0,CONTINUE
21,+0.120000,7.000000,+0.020000,0.100000,0.120000,0.700000,1,3,0.375000,0.079688,0.059400,0.020287,0.874057,+0.020287,-0.016743,FALSE,FALSE,R0,CONTINUE
22,+0.090000,8.000000,-0.030000,0.150000,0.090000,0.800000,0,0,0.000000,0.000000,0.038675,0.000000,0.861042,-0.020287,-0.013014,FALSE,FALSE,R0,CONTINUE
23,+0.070000,9.000000,-0.020000,0.100000,0.070000,0.900000,0,0,0.000000,0.000000,0.020925,0.000000,0.847282,+0.000000,-0.013761,FALSE,FALSE,R0,CONTINUE
24,+0.100000,10.000000,+0.030000,0.150000,0.100000,1.000000,1,1,0.125000,0.089063,0.000000,0.089063,0.817102,+0.089063,-0.030180,FALSE,FALSE,R0,CONTINUE
25,+0.130000,10.000000,+0.030000,0.150000,0.130000,1.000000,1,2,0.250000,0.096875,0.000000,0.185938,0.778436,+0.096875,-0.038666,FALSE,FALSE,R0,CONTINUE
26,+0.160000,10.000000,+0.030000,0.150000,0.160000,1.000000,1,3,0.375000,0.104688,0.000000,0.290625,0.732233,+0.104688,-0.046203,FALSE,FALSE,R0,CONTINUE
27,+0.190000,10.000000,+0.030000,0.150000,0.190000,1.000000,1,4,0.500000,0.112500,0.000000,0.403125,0.679206,+0.112500,-0.053027,FALSE,FALSE,R0,CONTINUE
28,+0.220000,10.000000,+0.030000,0.150000,0.220000,1.000000,1,5,0.625000,0.120313,0.000000,0.523438,0.619889,+0.120312,-0.059317,FALSE,FALSE,R0,CONTINUE
29,+0.250000,10.000000,+0.030000,0.150000,0.250000,1.000000,1,6,0.750000,0.125000,0.000000,0.648438,0.555151,+0.125000,-0.064738,FALSE,FALSE,I1,ABSTAIN
30,+0.280000,10.000000,+0.030000,0.150000,0.280000,1.000000,1,7,0.875000,0.125000,0.000000,0.773438,0.486348,+0.125000,-0.068803,FALSE,TRUE,I1,ABSTAIN
31,+0.310000,10.000000,+0.030000,0.150000,0.310000,1.000000,1,8,1.000000,0.125000,0.000000,0.898438,0.414495,+0.125000,-0.071853,FALSE,TRUE,I1,ABSTAIN
32,+0.340000,10.000000,+0.030000,0.150000,0.340000,1.000000,1,9,1.000000,0.125000,0.000000,1.000000,0.343871,+0.101563,-0.070624,FALSE,TRUE,I1,ABSTAIN
33,+0.370000,10.000000,+0.030000,0.150000,0.370000,1.000000,1,10,1.000000,0.125000,0.000000,1.000000,0.289404,+0.000000,-0.054468,FALSE,TRUE,I1,ABSTAIN
34,+0.400000,10.000000,+0.030000,0.150000,0.400000,1.000000,1,11,1.000000,0.125000,0.000000,1.000000,0.247053,+0.000000,-0.042351,FALSE,TRUE,I1,ABSTAIN
35,+0.430000,10.000000,+0.030000,0.150000,0.430000,1.000000,1,12,1.000000,0.125000,0.000000,1.000000,0.213789,+0.000000,-0.033263,FALSE,TRUE,I1,ABSTAIN
36,+0.410000,10.000000,-0.020000,0.100000,0.410000,1.000000,0,0,0.000000,0.000000,0.000000,1.000000,0.189842,+0.000000,-0.023947,FALSE,TRUE,I1,ABSTAIN
37,+0.390000,10.000000,-0.020000,0.100000,0.390000,1.000000,0,0,0.000000,0.000000,0.000000,1.000000,0.172882,+0.000000,-0.016961,FALSE,TRUE,I1,ABSTAIN
38,+0.420000,10.000000,+0.030000,0.150000,0.420000,1.000000,1,1,0.125000,0.089062,0.000000,1.000000,0.158661,+0.000000,-0.014220,FALSE,TRUE,I1,ABSTAIN
39,+0.450000,10.000000,+0.030000,0.150000,0.450000,1.000000,1,2,0.250000,0.096875,0.000000,1.000000,0.146496,+0.000000,-0.012165,FALSE,TRUE,I1,ABSTAIN
40,+0.480000,10.000000,+0.030000,0.150000,0.480000,1.000000,1,3,0.375000,0.104687,0.000000,1.000000,0.135872,+0.000000,-0.010624,FALSE,TRUE,I1,ABSTAIN
41,+0.500000,10.000000,+0.020000,0.100000,0.500000,1.000000,1,4,0.500000,0.106250,0.000000,1.000000,0.126904,+0.000000,-0.008968,FALSE,TRUE,I1,ABSTAIN
42,+0.470000,10.000000,-0.030000,0.150000,0.470000,1.000000,0,0,0.000000,0.000000,0.000000,1.000000,0.121678,+0.000000,-0.005226,FALSE,TRUE,I1,ABSTAIN
43,+0.440000,10.000000,-0.030000,0.150000,0.440000,1.000000,0,0,0.000000,0.000000,0.000000,1.000000,0.119258,+0.000000,-0.002419,FALSE,TRUE,I1,ABSTAIN
44,+0.410000,10.000000,-0.030000,0.150000,0.410000,1.000000,0,0,0.000000,0.000000,0.000000,1.000000,0.118944,+0.000000,-0.000315,FALSE,TRUE,I1,ABSTAIN
45,+0.380000,10.000000,-0.030000,0.150000,0.380000,1.000000,0,0,0.000000,0.000000,0.000000,1.000000,0.120208,+0.000000,+0.001264,FALSE,FALSE,C,ABSTAIN
46,+0.360000,10.000000,-0.020000,0.100000,0.360000,1.000000,0,0,0.000000,0.000000,0.000000,1.000000,0.122156,+0.000000,+0.001948,FALSE,FALSE,C,ABSTAIN
47,+0.390000,10.000000,+0.030000,0.150000,0.390000,1.000000,1,1,0.125000,0.089063,0.000000,1.000000,0.122117,+0.000000,-0.000039,FALSE,FALSE,C,ABSTAIN
48,+0.420000,10.000000,+0.030000,0.150000,0.420000,1.000000,1,2,0.250000,0.096875,0.000000,1.000000,0.120588,+0.000000,-0.001529,FALSE,FALSE,C,ABSTAIN
49,+0.420000,9.000000,+0.000000,0.000000,0.420000,0.900000,0,0,0.000000,0.000000,0.014500,0.985500,0.126616,-0.014500,+0.006028,TRUE,FALSE,C,ABSTAIN
50,+0.470000,10.000000,+0.050000,0.250000,0.470000,1.000000,1,1,0.125000,0.101563,0.000000,1.000000,0.121462,+0.014500,-0.005154,TRUE,FALSE,C,ABSTAIN
51,+0.520000,10.000000,+0.050000,0.250000,0.520000,1.000000,1,2,0.250000,0.109375,0.000000,1.000000,0.115096,+0.000000,-0.006365,FALSE,FALSE,C,ABSTAIN
52,+0.570000,10.000000,+0.050000,0.250000,0.570000,1.000000,1,3,0.375000,0.117187,0.000000,1.000000,0.107822,+0.000000,-0.007274,FALSE,FALSE,C,ABSTAIN
53,+0.540000,10.000000,-0.030000,0.150000,0.540000,1.000000,0,0,0.000000,0.000000,0.000000,1.000000,0.103867,+0.000000,-0.003956,FALSE,FALSE,C,ABSTAIN
54,+0.570000,8.000000,+0.030000,0.150000,0.570000,0.800000,1,1,0.125000,0.076562,0.018275,1.000000,0.109400,+0.000000,+0.005533,FALSE,FALSE,C,ABSTAIN
55,+0.550000,6.000000,-0.020000,0.100000,0.550000,0.600000,0,0,0.000000,0.000000,0.040500,0.959500,0.130625,-0.040500,+0.021225,TRUE,FALSE,C,ABSTAIN
56,+0.580000,6.000000,+0.030000,0.150000,0.580000,0.600000,1,1,0.125000,0.064062,0.035700,0.987862,0.140789,+0.028362,+0.010164,TRUE,FALSE,C,ABSTAIN
57,+0.600000,5.000000,+0.020000,0.100000,0.600000,0.500000,1,2,0.250000,0.059375,0.045000,1.000000,0.150592,+0.012138,+0.009803,TRUE,FALSE,C,ABSTAIN
58,+0.630000,6.000000,+0.030000,0.150000,0.630000,0.600000,1,3,0.375000,0.079688,0.031450,1.000000,0.151444,+0.000000,+0.000852,TRUE,FALSE,C,ABSTAIN
59,+0.610000,6.000000,-0.020000,0.100000,0.610000,0.600000,0,0,0.000000,0.000000,0.035100,0.964900,0.158348,-0.035100,+0.006904,TRUE,FALSE,C,ABSTAIN
60,+0.580000,8.000000,-0.030000,0.150000,0.580000,0.800000,0,0,0.000000,0.000000,0.017850,0.947050,0.157704,-0.017850,-0.000645,TRUE,FALSE,C,ABSTAIN
