t,a,s,da,D,B,S,out,run_out,P_out,dA_plus,dA_relief,A,E_rev,dA,dE,Recovery_H,EdgeZero_H,r,IRR_ADM
15,+0.120000,2.000000,+0.040000,0.200000,0.120000,0.200000,1,2,0.250000,0.053125,0.140800,0.000000,0.924086,+0.000000,+0.003971,FALSE,FALSE,R0,CONTINUE
16,+0.090000,3.000000,-0.030000,0.150000,0.090000,0.300000,0,0,0.000000,0.000000,0.135363,0.000000,0.923564,+0.000000,-0.000521,FALSE,FALSE,R0,CONTINUE
17,+0.060000,4.000000,-0.030000,0.150000,0.060000,0.400000,0,0,0.000000,0.000000,0.119850,0.000000,0.919673,+0.000000,-0.003891,FALSE,FALSE,R0,CONTINUE
18,+0.040000,5.000000,-0.020000,0.100000,0.040000,0.500000,0,0,0.000000,0.000000,0.108000,0.000000,0.912755,+0.000000,-0.006918,FALSE,FALSE,R0,CONTINUE
19,+0.070000,6.000000,+0.030000,0.150000,0.070000,0.600000,1,1,0.125000,0.064063,0.079050,0.000000,0.901066,+0.000000,-0.011689,FALSE,FALSE,R0,CONTINUE
20,+0.100000,6.000000,+0.030000,0.150000,0.100000,0.600000,1,2,0.250000,0.071875,0.076500,0.000000,0.890800,+0.000000,-0.010267,FALSE,FALSE,R0,CONTINUE
21,+0.120000,7.000000,+0.020000,0.100000,0.120000,0.700000,1,3,0.375000,0.079688,0.059400,0.020287,0.874057,+0.020287,-0.016743,FALSE,FALSE,R0,CONTINUE
22,+0.090000,8.000000,-0.030000,0.150000,0.090000,0.800000,0,0,0.000000,0.000000,0.038675,0.000000,0.861042,-0.020287,-0.013014,FALSE,FALSE,R0,CONTINUE
23,+0.070000,9.000000,-0.020000,0.100000,0.070000,0.900000,0,0,0.000000,0.000000,0.020925,0.000000,0.847282,+0.000000,-0.013761,FALSE,FALSE,R0,CONTINUE
24,+0.100000,10.000000,+0.030000,0.150000,0.100000,1.000000,1,1,0.125000,0.089063,0.000000,0.089063,0.817102,+0.089063,-0.030180,FALSE,FALSE,R0,CONTINUE
25,+0.120000,10.000000,+0.020000,0.100000,0.120000,1.000000,1,2,0.250000,0.090625,0.000000,0.179688,0.779873,+0.090625,-0.037229,FALSE,FALSE,R0,CONTINUE
26,+0.130000,10.000000,+0.010000,0.050000,0.130000,1.000000,1,3,0.375000,0.092188,0.000000,0.271875,0.737624,+0.092187,-0.042250,FALSE,FALSE,R0,CONTINUE
27,+0.140000,10.000000,+0.010000,0.050000,0.140000,1.000000,1,4,0.500000,0.100000,0.000000,0.371875,0.690437,+0.100000,-0.047187,FALSE,FALSE,R0,CONTINUE
28,+0.130000,10.000000,-0.010000,0.050000,0.130000,1.000000,0,0,0.000000,0.000000,0.000000,0.371875,0.655546,+0.000000,-0.034890,FALSE,FALSE,R0,CONTINUE
29,+0.120000,10.000000,-0.010000,0.050000,0.120000,1.000000,0,0,0.000000,0.000000,0.000000,0.371875,0.629878,+0.000000,-0.025668,FALSE,FALSE,R0,CONTINUE
30,+0.110000,10.000000,-0.010000,0.050000,0.110000,1.000000,0,0,0.000000,0.000000,0.000000,0.371875,0.611128,+0.000000,-0.018751,FALSE,FALSE,R0,CONTINUE
31,+0.100000,9.000000,-0.010000,0.050000,0.100000,0.900000,0,0,0.000000,0.000000,0.021375,0.350500,0.605771,-0.021375,-0.005357,FALSE,FALSE,R0,CONTINUE
32,+0.090000,8.000000,-0.010000,0.050000,0.090000,0.800000,0,0,0.000000,0.000000,0.043225,0.307275,0.613737,-0.043225,+0.007966,FALSE,FALSE,R0,CONTINUE
33,+0.080000,7.000000,-0.010000,0.050000,0.080000,0.700000,0,0,0.000000,0.000000,0.065550,0.241725,0.635044,-0.065550,+0.021307,FALSE,FALSE,R0,CONTINUE
34,+0.070000,6.000000,-0.010000,0.050000,0.070000,0.600000,0,0,0.000000,0.000000,0.088350,0.153375,0.669777,-0.088350,+0.034733,FALSE,FALSE,R0,CONTINUE
35,+0.060000,5.000000,-0.010000,0.050000,0.060000,0.500000,0,0,0.000000,0.000000,0.111625,0.041750,0.718070,-0.111625,+0.048293,TRUE,FALSE,R0,CONTINUE
36,+0.050000,4.000000,-0.010000,0.050000,0.050000,0.400000,0,0,0.000000,0.000000,0.135375,0.000000,0.766052,-0.041750,+0.047983,TRUE,FALSE,R0,CONTINUE
37,+0.040000,3.000000,-0.010000,0.050000,0.040000,0.300000,0,0,0.000000,0.000000,0.159600,0.000000,0.807539,+0.000000,+0.041487,TRUE,FALSE,R0,CONTINUE
38,+0.030000,2.000000,-0.010000,0.050000,0.030000,0.200000,0,0,0.000000,0.000000,0.184300,0.000000,0.844155,+0.000000,+0.036615,TRUE,FALSE,R0,CONTINUE
39,+0.020000,1.000000,-0.010000,0.050000,0.020000,0.100000,0,0,0.000000,0.000000,0.209475,0.000000,0.877116,+0.000000,+0.032961,TRUE,FALSE,R0,CONTINUE
40,+0.010000,0.000000,-0.010000,0.050000,0.010000,0.000000,0,0,0.000000,0.000000,0.235125,0.000000,0.907337,+0.000000,+0.030221,TRUE,FALSE,R0,CONTINUE
41,+0.030000,2.000000,+0.020000,0.100000,0.030000,0.200000,1,1,0.125000,0.032812,0.174600,0.000000,0.919003,+0.000000,+0.011666,TRUE,FALSE,R0,CONTINUE
42,+0.050000,4.000000,+0.020000,0.100000,0.050000,0.400000,1,2,0.250000,0.053125,0.128250,0.000000,0.916752,+0.000000,-0.002251,TRUE,FALSE,R0,CONTINUE
43,+0.070000,6.000000,+0.020000,0.100000,0.070000,0.600000,1,3,0.375000,0.073438,0.083700,0.000000,0.904064,+0.000000,-0.012688,TRUE,FALSE,R0,CONTINUE
44,+0.090000,8.000000,+0.020000,0.100000,0.090000,0.800000,1,4,0.500000,0.093750,0.040950,0.052800,0.875628,+0.052800,-0.028436,FALSE,FALSE,R0,CONTINUE
45,+0.110000,10.000000,+0.020000,0.100000,0.110000,1.000000,1,5,0.625000,0.114063,0.000000,0.166863,0.826192,+0.114063,-0.049436,FALSE,FALSE,R0,CONTINUE
46,+0.120000,10.000000,+0.010000,0.050000,0.120000,1.000000,1,6,0.750000,0.115625,0.000000,0.282488,0.771271,+0.115625,-0.054921,FALSE,FALSE,R0,CONTINUE
47,+0.100000,8.000000,-0.020000,0.100000,0.100000,0.800000,0,0,0.000000,0.000000,0.040500,0.241988,0.747155,-0.040500,-0.024116,FALSE,FALSE,R0,CONTINUE
48,+0.080000,6.000000,-0.020000,0.100000,0.080000,0.600000,0,0,0.000000,0.000000,0.082800,0.159188,0.752488,-0.082800,+0.005333,FALSE,FALSE,R0,CONTINUE
49,+0.060000,4.000000,-0.020000,0.100000,0.060000,0.400000,0,0,0.000000,0.000000,0.126900,0.032288,0.786523,-0.126900,+0.034035,FALSE,FALSE,R0,CONTINUE
50,+0.040000,2.000000,-0.020000,0.100000,0.040000,0.200000,0,0,0.000000,0.000000,0.172800,0.000000,0.827892,-0.032288,+0.041369,FALSE,FALSE,R0,CONTINUE
